Name,Value
SAN_LORENZO_U1,0.24
SAN_LORENZO_U2,0.24
SAN_LORENZO_U3,0.24
EMELDA_U1,0.283
EMELDA_U2,0.704
CENIZAS,0.21
TERMOPACIFICO,0.048
PAJONALES,0
CARDONES,0.771
LLANOS_BLANCOS,0.162
GUACOLDA_1,11.87
GUACOLDA_2,11.58
GUACOLDA_3,12.4129
GUACOLDA_4,11.57
GUACOLDA_5,9.8
MAITENCILLO,0
HUASCO-TG_U1_DIE,0.106333333
HUASCO-TG_U1_IFO,0.106333333
HUASCO-TG_U2_DIE,0.106333333
HUASCO-TG_U2_IFO,0.106333333
HUASCO-TG_U3_DIE,0.106333333
HUASCO-TG_U3_IFO,0.106333333
PUNTA_COLORADA_DIE,0.391
PUNTA_COLORADA_IFO,0.391
EL_PENON,0.162
COMBARBALA,1.75
CHAGUAL,1.064
OLIVOS_BL1,0
OLIVOS_BL2,0
ESPINOS_BL1,0
ESPINOS_BL2,0
NUEVA_VENTANAS,23.983
CAMPICHE,21.07
VENTANAS_2,14.532
QUINTERO_1A_DIE,0.896
QUINTERO_1A_GN_A,0.9039
QUINTERO_1A_GNL_A,0.9039
QUINTERO_1A_GNL_B,0.9039
QUINTERO_1A_GNL_C,0.9039
QUINTERO_1A_GNL_D,0.9039
QUINTERO_1A_GNL_E,0.9039
QUINTERO_1A_GNL_F,0.9039
QUINTERO_1A_GNL_INF,0.9039
QUINTERO_1B_DIE,0.635
QUINTERO_1B_GN_A,0.635
QUINTERO_1B_GNL_A,0.635
QUINTERO_1B_GNL_B,0.635
QUINTERO_1B_GNL_C,0.635
QUINTERO_1B_GNL_D,0.635
QUINTERO_1B_GNL_E,0.635
QUINTERO_1B_GNL_F,0.635
QUINTERO_1B_GNL_INF,0.635
SAN_ISIDRO-TG_DIE,1.76
SAN_ISIDRO-TG_GN_A,1.95
SAN_ISIDRO-TG_GNL_A,1.95
SAN_ISIDRO-TG_GNL_B,1.95
SAN_ISIDRO-TG_GNL_C,1.95
SAN_ISIDRO-TG_GNL_D,1.95
SAN_ISIDRO-TG_GNL_E,1.95
SAN_ISIDRO-TG_GNL_F,1.95
SAN_ISIDRO-TG_GNL_INF,1.95
SAN_ISIDRO-TG+TV_DIE,7.837
SAN_ISIDRO-TG+TV_GN_A,7.26
SAN_ISIDRO-TG+TV_GNL_A,7.26
SAN_ISIDRO-TG+TV_GNL_B,7.26
SAN_ISIDRO-TG+TV_GNL_C,7.26
SAN_ISIDRO-TG+TV_GNL_D,7.26
SAN_ISIDRO-TG+TV_GNL_E,7.26
SAN_ISIDRO-TG+TV_GNL_F,7.26
SAN_ISIDRO-TG+TV_GNL_INF,7.26
SAN_ISIDRO-TG+TV-FSTVD_DIE,7.837
SAN_ISIDRO-TG+TV-FSTVD_GN_A,7.26
SAN_ISIDRO-TG+TV-FSTVD_GNL_A,7.26
SAN_ISIDRO-TG+TV-FSTVD_GNL_B,7.26
SAN_ISIDRO-TG+TV-FSTVD_GNL_C,7.26
SAN_ISIDRO-TG+TV-FSTVD_GNL_D,7.26
SAN_ISIDRO-TG+TV-FSTVD_GNL_E,7.26
SAN_ISIDRO-TG+TV-FSTVD_GNL_F,7.26
SAN_ISIDRO-TG+TV-FSTVD_GNL_INF,7.26
SAN_ISIDRO-FA_GN_A,0
SAN_ISIDRO-FA_GNL_A,0
SAN_ISIDRO-FA_GNL_B,0
SAN_ISIDRO-FA_GNL_C,0
SAN_ISIDRO-FA_GNL_D,0
SAN_ISIDRO-FA_GNL_E,0
SAN_ISIDRO-FA_GNL_F,0
SAN_ISIDRO-FA_GNL_INF,0
SAN_ISIDRO_2-TG_DIE,2.139
SAN_ISIDRO_2-TG_GN_A,2.135
SAN_ISIDRO_2-TG_GNL_A,2.135
SAN_ISIDRO_2-TG_GNL_B,2.135
SAN_ISIDRO_2-TG_GNL_C,2.135
SAN_ISIDRO_2-TG_GNL_D,2.135
SAN_ISIDRO_2-TG_GNL_E,2.135
SAN_ISIDRO_2-TG_GNL_F,2.135
SAN_ISIDRO_2-TG_GNL_INF,2.135
SAN_ISIDRO_2-TG+TV_DIE,7.497
SAN_ISIDRO_2-TG+TV_GN_A,7.79
SAN_ISIDRO_2-TG+TV_GNL_A,7.79
SAN_ISIDRO_2-TG+TV_GNL_B,7.79
SAN_ISIDRO_2-TG+TV_GNL_C,7.79
SAN_ISIDRO_2-TG+TV_GNL_D,7.79
SAN_ISIDRO_2-TG+TV_GNL_E,7.79
SAN_ISIDRO_2-TG+TV_GNL_F,7.79
SAN_ISIDRO_2-TG+TV_GNL_INF,7.79
SAN_ISIDRO_2-TG+TV-FSTVU_DIE,7.497
SAN_ISIDRO_2-TG+TV-FSTVU_GN_A,7.79
SAN_ISIDRO_2-TG+TV-FSTVU_GNL_A,7.79
SAN_ISIDRO_2-TG+TV-FSTVU_GNL_B,7.79
SAN_ISIDRO_2-TG+TV-FSTVU_GNL_C,7.79
SAN_ISIDRO_2-TG+TV-FSTVU_GNL_D,7.79
SAN_ISIDRO_2-TG+TV-FSTVU_GNL_E,7.79
SAN_ISIDRO_2-TG+TV-FSTVU_GNL_F,7.79
SAN_ISIDRO_2-TG+TV-FSTVU_GNL_INF,7.79
NEHUENCO_1-FA_GN_A,0.14
NEHUENCO_1-FA_GNL_A,0.14
NEHUENCO_1-FA_GNL_B,0.14
NEHUENCO_1-FA_GNL_C,0.14
NEHUENCO_1-FA_GNL_D,0.14
NEHUENCO_1-FA_GNL_E,0.14
NEHUENCO_1-FA_GNL_F,0.14
NEHUENCO_1-FA_GNL_G,0.14
NEHUENCO_1-TG_GN_A,2.66
NEHUENCO_1-TG_GNL_A,2.66
NEHUENCO_1-TG_GNL_B,2.66
NEHUENCO_1-TG_GNL_C,2.66
NEHUENCO_1-TG_GNL_D,2.66
NEHUENCO_1-TG_GNL_E,2.66
NEHUENCO_1-TG_GNL_F,2.66
NEHUENCO_1-TG_GNL_G,2.66
NEHUENCO_1-TG_GNL_INF,2.66
NEHUENCO_1-TG+TV_DIE,8.56
NEHUENCO_1-TG+TV_GN_A,8.26
NEHUENCO_1-TG+TV_GNL_A,8.26
NEHUENCO_1-TG+TV_GNL_B,8.26
NEHUENCO_1-TG+TV_GNL_C,8.26
NEHUENCO_1-TG+TV_GNL_D,8.26
NEHUENCO_1-TG+TV_GNL_E,8.26
NEHUENCO_1-TG+TV_GNL_F,8.26
NEHUENCO_1-TG+TV_GNL_G,8.26
NEHUENCO_1-TG+TV_GNL_INF,8.26
NEHUENCO_2-TG_GN_A,7.965
NEHUENCO_2-TG_GNL_A,7.965
NEHUENCO_2-TG_GNL_B,7.965
NEHUENCO_2-TG_GNL_C,7.965
NEHUENCO_2-TG_GNL_D,7.965
NEHUENCO_2-TG_GNL_E,7.965
NEHUENCO_2-TG_GNL_F,7.965
NEHUENCO_2-TG_GNL_G,7.965
NEHUENCO_2-TG_GNL_INF,7.965
NEHUENCO_2-TG+TV_DIE,7.965
NEHUENCO_2-TG+TV_GN_A,5.674
NEHUENCO_2-TG+TV_GNL_A,5.674
NEHUENCO_2-TG+TV_GNL_B,5.674
NEHUENCO_2-TG+TV_GNL_C,5.674
NEHUENCO_2-TG+TV_GNL_D,5.674
NEHUENCO_2-TG+TV_GNL_E,5.674
NEHUENCO_2-TG+TV_GNL_F,5.674
NEHUENCO_2-TG+TV_GNL_G,5.674
NEHUENCO_2-TG+TV_GNL_INF,5.674
NEHUENCO_9B_DIE,1.08
NEHUENCO_9B_GN_A,0.9995
NEHUENCO_9B_GNL_A,0.9995
NEHUENCO_9B_GNL_B,0.9995
NEHUENCO_9B_GNL_C,0.9995
NEHUENCO_9B_GNL_D,0.9995
NEHUENCO_9B_GNL_E,0.9995
NEHUENCO_9B_GNL_F,0.9995
NEHUENCO_9B_GNL_G,0.9995
NEHUENCO_9B_GNL_INF,0.9995
COLMITO_DIE,0.29
COLMITO_GN_A,0.29
COLMITO_GNL_A,0.29
COLMITO_GNL_INF,0.29
ENAP_ACONCAGUA,0
CONCON,0
PLACILLA,0
EL_TOTORAL,0
LAS_VEGAS,0
LOS_VIENTOS,1.616
LOS_VIENTOS_GN_A,1.267
LOS_VIENTOS_GNL_A,1.267
LOS_VIENTOS_GNL_B,1.267
LOS_VIENTOS_GNL_C,1.267
LOS_VIENTOS_GNL_D,1.267
LOS_VIENTOS_GNL_E,1.267
LOS_VIENTOS-CNAVIA,1.616
LOS_VIENTOS-CNAVIA_GN_A,1.267
LOS_VIENTOS-CNAVIA_GNL_A,1.267
LOS_VIENTOS-CNAVIA_GNL_B,1.267
LOS_VIENTOS-CNAVIA_GNL_C,1.267
LOS_VIENTOS-CNAVIA_GNL_D,1.267
LOS_VIENTOS-CNAVIA_GNL_E,1.267
LOMA_LOS_COLORADOS_2,2.4795
